NO,MEDV,RM
0,24,6.575
1,21.6,6.421
2,34.7,7.185
3,33.4,6.998
4,36.2,7.147
5,28.7,6.43
6,22.9,6.012
7,27.1,6.172
8,16.5,5.631
9,18.9,6.004
10,15,6.377
11,18.9,6.009
12,21.7,5.889
13,20.4,5.949
14,18.2,6.096
15,19.9,5.834
16,23.1,5.935
17,17.5,5.99
18,20.2,5.456
19,18.2,5.727
20,13.6,5.57
21,19.6,5.965
22,15.2,6.142
23,14.5,5.813
24,15.6,5.924
25,13.9,5.599
26,16.6,5.813
27,14.8,6.047
28,18.4,6.495
29,21,6.674
30,12.7,5.713
31,14.5,6.072
32,13.2,5.95
33,13.1,5.701
34,13.5,6.096
35,18.9,5.933
36,20,5.841
37,21,5.85
38,24.7,5.966
39,30.8,6.595
40,34.9,7.024
41,26.6,6.77
42,25.3,6.169
43,24.7,6.211
44,21.2,6.069
45,19.3,5.682
46,20,5.786
47,16.6,6.03
48,14.4,5.399
49,19.4,5.602
50,19.7,5.963
51,20.5,6.115
52,25,6.511
53,23.4,5.998
54,18.9,5.888
55,35.4,7.249
56,24.7,6.383
57,31.6,6.816
58,23.3,6.145
59,19.6,5.927
60,18.7,5.741
61,16,5.966
62,22.2,6.456
63,25,6.762
64,33,7.104
65,23.5,6.29
66,19.4,5.787
67,22,5.878
68,17.4,5.594
69,20.9,5.885
70,24.2,6.417
71,21.7,5.961
72,22.8,6.065
73,23.4,6.245
74,24.1,6.273
75,21.4,6.286
76,20,6.279
77,20.8,6.14
78,21.2,6.232
79,20.3,5.874
80,28,6.727
81,23.9,6.619
82,24.8,6.302
83,22.9,6.167
84,23.9,6.389
85,26.6,6.63
86,22.5,6.015
87,22.2,6.121
88,23.6,7.007
89,28.7,7.079
90,22.6,6.417
91,22,6.405
92,22.9,6.442
93,25,6.211
94,20.6,6.249
95,28.4,6.625
96,21.4,6.163
97,38.7,8.069
98,43.8,7.82
99,33.2,7.416
100,27.5,6.727
101,26.5,6.781
102,18.6,6.405
103,19.3,6.137
104,20.1,6.167
105,19.5,5.851
106,19.5,5.836
107,20.4,6.127
108,19.8,6.474
109,19.4,6.229
110,21.7,6.195
111,22.8,6.715
112,18.8,5.913
113,18.7,6.092
114,18.5,6.254
115,18.3,5.928
116,21.2,6.176
117,19.2,6.021
118,20.4,5.872
119,19.3,5.731
120,22,5.87
121,20.3,6.004
122,20.5,5.961
123,17.3,5.856
124,18.8,5.879
125,21.4,5.986
126,15.7,5.613
127,16.2,5.693
128,18,6.431
129,14.3,5.637
130,19.2,6.458
131,19.6,6.326
132,23,6.372
133,18.4,5.822
134,15.6,5.757
135,18.1,6.335
136,17.4,5.942
137,17.1,6.454
138,13.3,5.857
139,17.8,6.151
140,14,6.174
141,14.4,5.019
142,13.4,5.403
143,15.6,5.468
144,11.8,4.903
145,13.8,6.13
146,15.6,5.628
147,14.6,4.926
148,17.8,5.186
149,15.4,5.597
150,21.5,6.122
151,19.6,5.404
152,15.3,5.012
153,19.4,5.709
154,17,6.129
155,15.6,6.152
156,13.1,5.272
157,41.3,6.943
158,24.3,6.066
159,23.3,6.51
160,27,6.25
161,50,7.489
162,50,7.802
163,50,8.375
164,22.7,5.854
165,25,6.101
166,50,7.929
167,23.8,5.877
168,23.8,6.319
169,22.3,6.402
170,17.4,5.875
171,19.1,5.88
172,23.1,5.572
173,23.6,6.416
174,22.6,5.859
175,29.4,6.546
176,23.2,6.02
177,24.6,6.315
178,29.9,6.86
179,37.2,6.98
180,39.8,7.765
181,36.2,6.144
182,37.9,7.155
183,32.5,6.563
184,26.4,5.604
185,29.6,6.153
186,50,7.831
187,32,6.782
188,29.8,6.556
189,34.9,7.185
190,37,6.951
191,30.5,6.739
192,36.4,7.178
193,31.1,6.8
194,29.1,6.604
195,50,7.875
196,33.3,7.287
197,30.3,7.107
198,34.6,7.274
199,34.9,6.975
200,32.9,7.135
201,24.1,6.162
202,42.3,7.61
203,48.5,7.853
204,50,8.034
205,22.6,5.891
206,24.4,6.326
207,22.5,5.783
208,24.4,6.064
209,20,5.344
210,21.7,5.96
211,19.3,5.404
212,22.4,5.807
213,28.1,6.375
214,23.7,5.412
215,25,6.182
216,23.3,5.888
217,28.7,6.642
218,21.5,5.951
219,23,6.373
220,26.7,6.951
221,21.7,6.164
222,27.5,6.879
223,30.1,6.618
224,44.8,8.266
225,50,8.725
226,37.6,8.04
227,31.6,7.163
228,46.7,7.686
229,31.5,6.552
230,24.3,5.981
231,31.7,7.412
232,41.7,8.337
233,48.3,8.247
234,29,6.726
235,24,6.086
236,25.1,6.631
237,31.5,7.358
238,23.7,6.481
239,23.3,6.606
240,22,6.897
241,20.1,6.095
242,22.2,6.358
243,23.7,6.393
244,17.6,5.593
245,18.5,5.605
246,24.3,6.108
247,20.5,6.226
248,24.5,6.433
249,26.2,6.718
250,24.4,6.487
251,24.8,6.438
252,29.6,6.957
253,42.8,8.259
254,21.9,6.108
255,20.9,5.876
256,44,7.454
257,50,8.704
258,36,7.333
259,30.1,6.842
260,33.8,7.203
261,43.1,7.52
262,48.8,8.398
263,31,7.327
264,36.5,7.206
265,22.8,5.56
266,30.7,7.014
267,50,8.297
268,43.5,7.47
269,20.7,5.92
270,21.1,5.856
271,25.2,6.24
272,24.4,6.538
273,35.2,7.691
274,32.4,6.758
275,32,6.854
276,33.2,7.267
277,33.1,6.826
278,29.1,6.482
279,35.1,6.812
280,45.4,7.82
281,35.4,6.968
282,46,7.645
283,50,7.923
284,32.2,7.088
285,22,6.453
286,20.1,6.23
287,23.2,6.209
288,22.3,6.315
289,24.8,6.565
290,28.5,6.861
291,37.3,7.148
292,27.9,6.63
293,23.9,6.127
294,21.7,6.009
295,28.6,6.678
296,27.1,6.549
297,20.3,5.79
298,22.5,6.345
299,29,7.041
300,24.8,6.871
301,22,6.59
302,26.4,6.495
303,33.1,6.982
304,36.1,7.236
305,28.4,6.616
306,33.4,7.42
307,28.2,6.849
308,22.8,6.635
309,20.3,5.972
310,16.1,4.973
311,22.1,6.122
312,19.4,6.023
313,21.6,6.266
314,23.8,6.567
315,16.2,5.705
316,17.8,5.914
317,19.8,5.782
318,23.1,6.382
319,21,6.113
320,23.8,6.426
321,23.1,6.376
322,20.4,6.041
323,18.5,5.708
324,25,6.415
325,24.6,6.431
326,23,6.312
327,22.2,6.083
328,19.3,5.868
329,22.6,6.333
330,19.8,6.144
331,17.1,5.706
332,19.4,6.031
333,22.2,6.316
334,20.7,6.31
335,21.1,6.037
336,19.5,5.869
337,18.5,5.895
338,20.6,6.059
339,19,5.985
340,18.7,5.968
341,32.7,7.241
342,16.5,6.54
343,23.9,6.696
344,31.2,6.874
345,17.5,6.014
346,17.2,5.898
347,23.1,6.516
348,24.5,6.635
349,26.6,6.939
350,22.9,6.49
351,24.1,6.579
352,18.6,5.884
353,30.1,6.728
354,18.2,5.663
355,20.6,5.936
356,17.8,6.212
357,21.7,6.395
358,22.7,6.127
359,22.6,6.112
360,25,6.398
361,19.9,6.251
362,20.8,5.362
363,16.8,5.803
364,21.9,8.78
365,27.5,3.561
366,21.9,4.963
367,23.1,3.863
368,50,4.97
369,50,6.683
370,50,7.016
371,50,6.216
372,50,5.875
373,13.8,4.906
374,13.8,4.138
375,15,7.313
376,13.9,6.649
377,13.3,6.794
378,13.1,6.38
379,10.2,6.223
380,10.4,6.968
381,10.9,6.545
382,11.3,5.536
383,12.3,5.52
384,8.8,4.368
385,7.2,5.277
386,10.5,4.652
387,7.4,5
388,10.2,4.88
389,11.5,5.39
390,15.1,5.713
391,23.2,6.051
392,9.7,5.036
393,13.8,6.193
394,12.7,5.887
395,13.1,6.471
396,12.5,6.405
397,8.5,5.747
398,5,5.453
399,6.3,5.852
400,5.6,5.987
401,7.2,6.343
402,12.1,6.404
403,8.3,5.349
404,8.5,5.531
405,5,5.683
406,11.9,4.138
407,27.9,5.608
408,17.2,5.617
409,27.5,6.852
410,15,5.757
411,17.2,6.657
412,17.9,4.628
413,16.3,5.155
414,7,4.519
415,7.2,6.434
416,7.5,6.782
417,10.4,5.304
418,8.8,5.957
419,8.4,6.824
420,16.7,6.411
421,14.2,6.006
422,20.8,5.648
423,13.4,6.103
424,11.7,5.565
425,8.3,5.896
426,10.2,5.837
427,10.9,6.202
428,11,6.193
429,9.5,6.38
430,14.5,6.348
431,14.1,6.833
432,16.1,6.425
433,14.3,6.436
434,11.7,6.208
435,13.4,6.629
436,9.6,6.461
437,8.7,6.152
438,8.4,5.935
439,12.8,5.627
440,10.5,5.818
441,17.1,6.406
442,18.4,6.219
443,15.4,6.485
444,10.8,5.854
445,11.8,6.459
446,14.9,6.341
447,12.6,6.251
448,14.1,6.185
449,13,6.417
450,13.4,6.749
451,15.2,6.655
452,16.1,6.297
453,17.8,7.393
454,14.9,6.728
455,14.1,6.525
456,12.7,5.976
457,13.5,5.936
458,14.9,6.301
459,20,6.081
460,16.4,6.701
461,17.7,6.376
462,19.5,6.317
463,20.2,6.513
464,21.4,6.209
465,19.9,5.759
466,19,5.952
467,19.1,6.003
468,19.1,5.926
469,20.1,5.713
470,19.9,6.167
471,19.6,6.229
472,23.2,6.437
473,29.8,6.98
474,13.8,5.427
475,13.3,6.162
476,16.7,6.484
477,12,5.304
478,14.6,6.185
479,21.4,6.229
480,23,6.242
481,23.7,6.75
482,25,7.061
483,21.8,5.762
484,20.6,5.871
485,21.2,6.312
486,19.1,6.114
487,20.6,5.905
488,15.2,5.454
489,7,5.414
490,8.1,5.093
491,13.6,5.983
492,20.1,5.983
493,21.8,5.707
494,24.5,5.926
495,23.1,5.67
496,19.7,5.39
497,18.3,5.794
498,21.2,6.019
499,17.5,5.569
500,16.8,6.027
501,22.4,6.593
502,20.6,6.12
503,23.9,6.976
504,22,6.794
505,11.9,6.03
